Active,x1,pmv1,x2,pmv2,x3,pmv3,x4,pmv4,x5,pmv5,LUMO,HOMO,GapHL,Dipole_Moment,ASA,a_aro,a_count,a_heavy,balabanJ,chi0,KierFlex,lip_acc,lip_don,logS,mr,rings,vdw_area,vdw_vol,Weight,weinerPath,weinerPol,zagreb,apol,bpol,McGowan_Volume,PetitjeanNumber,CPCM1,CPCM2,CPCM3,CPCM4,CPCM5,SMD1,SMD2,SMD3,SMD4,SMD5,mol
0,62.7162399,313.242157,70.6185684,691.892273,270.876312,282.615509,-0.468147367,385.988281,37.4837265,308.750549,-0.03951,-0.35115,-8.480223024,3.8548,438.80634,0,27,12,3.009208,9.4497471,11.327873,5,5,0.31511,5.179162,0,227.46637,242.27084,214.226,261,9,48,29.937895,24.836105,1.5569,0.444444444,-153.3322875,-148.0207072,-148.1265321,-155.4664105,-157.1970934,-155.0945254,-147.5406449,-147.296931,-162.9233206,-166.4860028,S(P(=O)(O)O)CCNCCCN
//0,103.126022,520.824768,108.034821,1093.37598,459.793427,484.220886,-2.80244493,569.208984,70.2835999,517.915222,-0.03536,-0.34568,-8.444303712,5.6589,625.1546,16,46,28,1.5187331,20.051678,3.8200793,9,2,-4.2306499,10.204739,4,382.73071,482.30212,403.82599,1920,55,156,54.570274,29.571726,2.7226,0.5,-238.0983017,-233.9745969,-234.0545767,-239.8238595,-241.255593,-246.853992,-242.1012515,-241.725108,-246.3430289,-247.0421965,Clc1c2C(=O)N(C)Cc3c(-c4nc(C(CO)(CO)C)on4)ncn3-c2ccc1
0,87.206192,435.497925,94.3771896,931.233093,381.462097,400.444824,-1.27123094,502.593719,60.4303818,434.531189,0.01009,-0.31683,-8.896016272,3.4687,550.55682,6,38,19,2.2326572,14.087576,7.8664813,3,1,-3.27086,8.0590696,1,314.7493,383.81918,304.21698,846,23,84,44.373067,24.548933,2.2626,0.5,-205.4908784,-203.0652284,-203.1131442,-206.4784911,-207.2855309,-213.1986411,-210.1243553,-209.7748423,-212.5440591,-207.1695197,ClCCN(CCCl)c1ccc(CCCC(=O)O)cc1
xx0,85.9699936,417.420685,98.9574966,899.908386,363.212402,378.546082,1.84647036,524.479492,58.7709351,417.436066,0.00784,-0.31771,-8.85873638,9.3716,514.97656,5,37,17,2.2923491,12.932875,8.8328953,6,5,-0.63608003,7.1704612,1,309.54306,342.75287,256.37799,1108,13,66,35.142274,25.257726,1.7448,0.5,-143.6839047,-139.6009046,-139.6808023,-145.3697427,-146.7580129,-154.4360919,-149.6431885,-149.3794558,-150.6373835,-142.4243887,S(CCNCNC)Cc1c(C)[nH]cn1.N#CN
xx0,77.0030594,393.401611,83.7203445,846.373413,345.030914,361.679443,-2.73241091,440.04129,47.3274651,387.205505,-0.0319,-0.34261,-8.454916236,6.9657,513.9021,11,32,21,1.9682306,15.620955,4.5299897,7,4,-3.63111,7.740808,2,292.25812,355.67416,330.74799,939,30,108,39.744723,21.795277,2.1032,0.5,-158.2395207,-153.9958549,-154.0796195,-159.9686574,-161.3819016,-160.6564776,-156.6226417,-156.3161716,-163.7190105,-167.8773607,Clc1c(S(=O)(=O)N)cc(C(=O)O)c(NCc2occc2)c1
xx0,108.038475,550.848633,111.435905,1147.10608,488.111359,516.435791,-3.84715509,596.46991,72.5274048,550.791992,-0.03963,-0.34033,-8.18252812,2.5745,660.16956,6,54,28,1.595853,20.258783,5.1881018,9,1,-2.54546,10.179272,3,397.00119,507.14767,390.44,2129,41,144,59.186618,37.535382,2.8946,0.461538462,-300.4129322,-295.4558646,-295.5516551,-302.4977323,-304.2319482,-307.9970373,-302.8682256,-302.4597655,-310.0266696,-310.9285708,O=[N+]([O-])c1cc(CC(=O)N2[C@@H](CN3C[C@@H](O)CC3)CN(C(=O)C)CC2)ccc1
xx0,115.112259,588.108337,115.359703,1207.28577,522.337341,554.684448,-4.5775547,617.620239,73.8631668,583.122742,-0.03519,-0.33976,-8.287837012,2.2431,681.92505,6,58,29,1.5573932,21.181435,6.283236,8,1,-1.89592,11.044327,3,428.57639,546.76514,423.534,2413,43,152,64.746997,46.035003,3.1422,0.5,-324.0639628,-317.825787,-317.9472399,-326.6595283,-328.8063088,-330.9913985,-323.8129272,-323.3845442,-337.4044343,-342.4757591,S(=O)(=O)(C)c1ccc(CC(=O)N2[C@@H](CN3C[C@@H](O)CC3)CN(C(=O)C)CC2)cc1
//0,-6081.17773,-28451.6602,66.1188354,701.442688,292.448273,309.693878,-13.9078302,365.329773,16.7754917,351.565826,-0.15514,-0.48229,-8.90227494,13.3252,427.5387,0,36,15,1.7754995,10.725768,3.7427039,5,6,-0.77048999,5.6820774,2,218.86772,294.39743,215.297,391,18,76,36.506653,25.469347,1.7172,0.444444444,-237.7897318,-223.1708373,-223.4648259,-243.5884226,-248.2613504,-249.1218273,-232.4271163,-232.4501276,-253.9619607,-254.4182423,[N+H3][C-](NC[C@@H]1OC2(OC1)CCCCC2)N
//0,123.423729,610.733459,137.966003,1293.63513,535.950073,560.332092,0.0692,722.263916,80.8272171,606.09668,-0.02997,-0.33578,-8.321579396,5.9883,725.37531,5,51,32,1.3765556,22.990835,5.4298415,14,6,-3.3554399,11.338306,4,419.36606,521.22028,481.51801,3081,49,172,60.539067,34.080933,3.1033,0.5,-205.5232161,-199.7350924,-199.8477728,-170.9598399,-178.1135161,-209.570107,-203.4839688,-203.0173192,-176.0742945,-189.8229628,O=C(N[C@@H]1C(=O)N2C(C(=O)O)=C(CN3NC(C)=NN3)CS[C@@H]12)/C(=N/OC)/c1nc(N)sc1
0,133.188339,677.263489,128.716507,1366.73962,606.09021,644.02594,-5.64342976,681.174377,93.3379364,674.331543,0.00354,-0.344,-9.457119464,2.1311,768.11536,18,67,34,1.4408697,24.183588,6.1224923,4,1,-5.9552002,13.989108,4,505.55478,675.10535,477.048,3458,60,180,79.028169,41.413831,3.7697,0.466666667,-368.3755136,-365.6000742,-365.6543393,-369.5237583,-370.4709057,-381.1107733,-376.5801767,-376.0654866,-379.1145189,-372.4820941,Clc1ccc(C2(O)CCN(CCC(C(=O)N(C)C)(c3ccccc3)c3ccccc3)CC2)cc1
//0,119.978897,607.346375,122.16256,1254.75439,539.21521,570.434875,-3.85709643,642.414185,82.3283386,604.962097,-0.00297,-0.31332,-8.44512006,4.2594,699.99426,11,56,29,1.2194309,20.639618,6.2724037,7,2,-3.9377501,11.710097,3,432.18491,559.3161,413.54599,3027,37,144,64.967411,40.610589,3.1776,0.5,-307.4396835,-302.1769699,-302.2773159,-309.7022477,-311.6106854,-319.7371111,-312.3938786,-311.9696762,-319.3070819,-317.9784977,S(CCNC1=NC(=O)C(Cc2cnc(C)cc2)=CN1)Cc1oc(CN(C)C)cc1
//0,163.064896,816.345276,157.455231,1614.99146,733.894775,781.976196,-4.35960388,827.849487,114.939644,813.570801,-0.00435,-0.2996,-8.0342249,0.244,840.45142,12,82,39,1.4492093,27.940582,9.1374741,7,4,-7.0671501,15.798656,4,559.09265,772.46814,553.76801,5064,62,200,92.640099,54.503901,4.3958,0.5,-458.4640921,-454.8491095,-454.9194966,-459.9697234,-461.2167649,-471.8713446,-466.4345567,-465.8135578,-471.8964486,-465.049105,S(C[C@H](NC(=O)c1c(C)c(O)ccc1)[C@H](O)CN1[C@H](C(=O)NC(C)C)C[C@H]2[C@@H](C1)CCCC2)c1ccccc1
//0,97.7144318,493.405975,103.318001,1030.87158,435.506073,459.93692,-2.63645411,537.619751,63.3448181,489.041748,-0.02405,-0.32606,-8.218175316,3.6001,574.88416,5,41,27,1.6216742,19.714813,4.8111529,10,5,-3.0734301,9.7461996,3,357.16623,445.77914,410.431,1897,40,142,50.747102,26.996898,2.6307,0.5,-201.488558,-196.9642833,-197.0528395,-203.3581793,-204.8999278,-206.8289211,-202.5644626,-202.213072,-209.2948923,-213.0896724,O=C(N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)/C(=C/CC(=O)O)/c1nc(N)sc1
0,90.4609833,472.984955,93.3360062,1000.35645,418.796906,442.232758,-5.67398453,490.955902,53.8040924,467.831268,-0.01456,-0.31627,-8.210011836,2.3139,612.46338,15,43,24,1.5352314,17.26722,4.1483092,6,1,-3.78087,9.5173721,3,337.32855,445.24567,345.423,1419,39,126,51.195067,32.280933,2.5161,0.461538462,-226.7368171,-223.2752316,-223.3431329,-228.1613652,-229.332651,-232.6270498,-228.2705069,-227.8905393,-232.6713511,-233.44267,[S@@H0](=O)(Cc1c(C)c(OC)c(C)cn1)c1[nH]c2c(n1)cc(OC)cc2
xx0,87.5631485,455.547028,90.5213318,956.965881,402.421112,425.89505,-4.719841,477.266083,59.7701378,455.454651,-0.02418,-0.32355,-8.146336692,9.5562,444.19946,12,27,16,1.695751,11.380469,1.7330356,5,4,-2.0838201,6.11373,2,223.7252,288.1044,213.244,485,20,78,32.194723,13.345277,1.6393,0.5,-142.7529454,-140.6405829,-140.6821631,-143.6181991,-144.3280449,-149.6619796,-146.1134204,-145.8683687,-147.1990173,-145.8407082,N(=Nc1ccccc1)c1c(N)nc(N)cc1
0,86.2863998,455.273315,87.0444412,951.378906,404.410828,429.253906,-6.30798721,451.83548,58.2858696,454.578705,-0.02989,-0.31151,-7.663330792,8.2749,492.48044,6,38,17,2.4028761,13.052042,4.0862484,4,4,-1.31354,6.6941223,1,274.47449,341.72797,239.31499,560,22,82,40.388653,23.617347,1.9786,0.444444444,-215.0102836,-212.7207178,-212.7657336,-215.949498,-216.720467,-220.7693584,-216.9910544,-216.6730066,-222.2676914,-220.8848321,O[C@H](CNC(C)(C)C)c1cc(CO)c(O)cc1
0,75.081398,380.559296,76.4823303,799.707703,332.613251,351.311523,-2.18565941,421.423615,53.7399826,379.90152,0.01379,-0.32736,-9.28323734,1.6582,299.89569,6,16,10,2.4522195,7.5604777,1.2556422,3,2,-0.99233001,3.5745182,1,141.20706,171.52238,138.12199,114,12,46,18.726758,7.517242,0.9904,0.4,-82.16829603,-80.19936731,-80.23780438,-82.98405134,-83.65706246,-84.50592485,-82.78093324,-82.61878721,-85.82085142,-86.64675408,O=C(O)c1c(O)cccc1
//0,134.730576,677.305176,135.023544,1367.79041,604.065247,640.584778,-3.69594049,709.712524,92.3822632,669.950867,-0.03492,-0.33767,-8.2383119,1.3362,881.78503,28,77,44,1.2535441,30.890329,6.9272833,8,3,-8.8333302,17.14706,5,576.19678,811.89014,587.67596,7217,72,226,92.674169,43.505831,4.4999,0.5,-412.3365545,-407.8158426,-407.9036827,-414.2247956,-415.7910161,-427.2619486,-421.5088864,-420.9130264,-425.4884896,-421.4071774,O=C(NCCOc1c(-c2ccccc2)nc2c(c1C(=O)N[C@@H](CC)c1ccccc1)cccc2)Cc1c(C(=O)O)cccc1
//0,160.288528,779.623352,161.836716,1549.15063,693.290588,736.190308,1.26264822,864.935364,115.60228,782.520874,0.00868,-0.3488,-9.727602768,3.4502,437.22177,0,33,18,2.6514535,13.869879,4.3310122,10,5,0.60026997,5.5448084,1,256.08273,290.14279,265.22198,609,29,86,32.995895,21.550105,1.7515,0.5,-175.7390159,-172.8715443,-172.9279402,-176.9144365,-177.8787,-177.4016666,-174.9814164,-174.701804,-180.5106063,-185.2631453,O=NN(C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O)C
xx0,70.0205917,345.479156,77.1970444,744.432312,300.259583,315.114532,0.18200998,419.468048,49.174778,346.578552,-0.00414,-0.38986,-10.49605835,5.2813,728.93188,12,52,28,1.2484076,19.93251,5.7190666,6,2,-3.78058,11.481394,3,408.99323,546.80841,442.36099,2666,39,140,62.315032,33.764968,3.0874,0.473684211,-14.56600609,-8.694437708,-8.805339017,-17.12836164,-19.30936845,-27.41574925,-19.96343185,-19.56483775,-26.58262158,-24.43362092,Brc1cc(C)c(CCCCNC2=NC(=O)C(Cc3cnc(C)cc3)=CN2)nc1
xx0,105.690788,574.319702,117.601151,1220.4707,511.524078,539.819824,-8.57698917,609.353943,53.0604439,567.622314,-0.01542,-0.33927,-8.81247666,9.1716,727.75696,12,52,28,1.2484076,19.93251,5.7190666,6,2,-3.78058,11.481394,3,408.99323,546.80841,442.36099,2666,39,140,62.315032,33.764968,3.0874,0.473684211,-257.783244,-250.4495474,-250.5871315,-261.0101237,-263.7660953,-271.1416577,-261.9639826,-261.5972191,-271.9199464,-270.9109133,Brc1cc(C)c(CCCCNC2=NC(=O)C(Cc3cnc(C)cc3)=CN2)nc1
1,34.2908249,160.225388,45.416523,378.223602,133.866119,135.75737,2.27636456,248.06926,24.8664722,160.461441,-0.00979,-0.44071,-11.72602267,1.7463,254.31798,0,8,5,3.0237157,4.5,6.5227904,0,0,-2.32551,2.4710488,0,120.28967,110.62224,133.405,16,0,20,12.060379,4.539621,0.7576,0.5,-31.80246494,-31.09373145,-31.10794082,-32.08467979,-32.31248199,-34.79404128,-33.64572658,-33.50265678,-34.30021105,-30.19651134,ClC(Cl)(Cl)C
1,37.9532204,190.943756,40.0791321,420.645569,164.779984,172.407745,-0.659794509,231.845963,29.044466,193.48909,0.13577,-0.41182,-14.90080004,0.011,288.75314,0,20,6,2.7541847,4.9915638,3.2,0,0,-2.93274,2.9659145,0,133.36107,160.47115,86.178001,31,4,20,19.895102,15.304898,0.954,0.5,-119.0156024,-118.9688515,-118.9697947,-119.0340489,-119.0488675,-122.0413489,-121.5511977,-121.357513,-120.4904061,-115.7668498,C(CC)(CC)C
1,78.4804535,409.07254,75.3983994,848.133911,364.174377,387.464478,-5.46193695,399.212646,55.3022232,407.70993,-0.00122,-0.33554,-9.097382112,1.2507,512.79596,12,39,21,1.6429808,14.396976,2.9013031,2,0,-4.1184001,8.5858479,4,278.8255,407.14694,299.80099,790,40,118,47.764274,23.993726,2.2333,0.375,-210.9466134,-209.5560506,-209.5836242,-211.5095642,-211.9681502,-219.7729171,-217.2354815,-216.9059836,-217.1538696,-211.8700205,Clc1cc2[C@@H]3[C@@H](c4c(Oc2cc1)cccc4)CN(C)CC3
1,108.175407,545.565613,113.07795,1158.23132,480.384918,506.159576,-2.97290397,603.780701,76.7680588,547.263428,-0.02501,-0.33951,-8.5580482,4.8722,675.39386,6,51,27,1.3457536,19.440947,5.8675308,5,0,-3.2168901,9.8986874,3,382.99283,489.85172,404.86398,2246,38,140,56.736032,38.483968,2.7804,0.466666667,-273.3873821,-270.5475584,-270.6032308,-274.556927,-275.5187881,-283.1506645,-278.5163534,-278.067327,-282.5833686,-278.4541059,Clc1nc(N2CCN(CCCCN3C(=O)CCC3)CC2)cc(C(F)(F)F)c1
1,114.110077,587.998657,111.398674,1214.65466,522.558655,555.508118,-6.18708992,593.524963,79.7253799,586.969849,-0.02443,-0.33226,-8.376546828,4.805,702.30005,9,58,31,1.0916024,21.534805,4.5300016,7,1,-4.2032499,11.484821,5,393.06631,559.7641,426.492,3047,54,172,65.846411,38.873589,3.0983,0.470588235,-315.9411878,-313.1671128,-313.2214801,-317.0849508,-318.0267101,-326.3789276,-322.4136637,-321.9401104,-324.9696979,-322.1550891,Fc1cc2onc(C3CCN(CCC=4C(=O)N5C([C@H](O)CCC5)=NC=4C)CC3)c2cc1
1,72.5196075,376.250183,79.3182678,821.546448,329.283875,345.799103,-3.65458989,410.836548,48.9604187,374.335632,-0.00307,-0.29028,-7.815443636,5.5819,523.86829,9,33,18,1.7705112,12.957819,3.5465174,5,2,-4.23561,7.2945175,2,266.82922,337.79819,265.33701,676,23,88,38.925895,24.192105,1.9475,0.5,-176.9647774,-172.9094373,-172.9863482,-178.7204325,-180.2060689,-184.5129522,-179.8379005,-179.5649037,-184.0758985,-182.3187367,S(CCC)c1cc2nc(NC(=O)OC)[nH]c2cc1
1,28.0118084,143.419098,31.8109131,324.643036,122.445999,126.760918,-0.820808172,178.371155,19.2897186,143.550507,0.02039,-0.35474,-10.20788751,0,245.79796,6,12,6,2.1176472,4.2426405,0.52307427,0,0,-1.3848799,2.7499685,1,99.121742,128.86995,78.113998,27,3,24,14.560758,6.559242,0.7164,0,-65.17818554,-64.82389251,-64.83093644,-65.32092181,-65.43681434,-68.93142508,-68.278064,-68.14494633,-66.96512048,-63.7338016,c1ccccc1
1,100.051811,508.401398,103.637238,1053.66943,449.969513,476.446259,-3.20703936,540.730835,68.1237183,504.552917,-0.0326,-0.3536,-8.7349236,5.1011,590.96271,11,46,26,1.655586,18.637465,3.6347504,6,0,-5.1814799,10.124001,4,364.45575,486.1236,418.29099,1443,49,148,55.53186,32.26614,2.7008,0.5,-244.7222852,-241.0559343,-241.1265605,-246.2723554,-247.5660411,-253.4859796,-249.8148895,-249.4488392,-252.5615927,-249.9180861,Brc1c2C(=O)N3[C@H](c4c(C(OC(C)(C)C)=O)ncn4-c2ccc1)CCC3
1,99.2361908,500.614899,100.25528,1040.98413,443.801849,469.766724,-3.16519856,531.082275,70.963913,500.084869,-0.01113,-0.33107,-8.706079304,1.5669,598.25604,6,47,23,1.5198879,16.233841,5.917583,3,0,-4.1594901,9.6315918,3,344.18549,463.12439,355.30899,1261,32,118,55.045032,31.994968,2.6501,0.5,-259.692742,-257.6275748,-257.6682254,-260.5382205,-261.231324,-269.702521,-266.3415475,-265.9430667,-268.4563517,-261.915315,Clc1c(Cl)ccc(CC(=O)N2[C@H](CN3CCCC3)CCCC2)c1
1,99.7203064,503.322144,100.863968,1046.23877,445.371399,472.209991,-2.90531373,541.201416,71.4345474,504.058411,-0.0182,-0.33227,-8.546347212,3.1122,601.49249,6,50,25,1.4809731,17.863596,4.7954645,3,0,-3.7474599,9.245122,3,339.48233,465.06845,354.41599,1643,35,130,54.782825,35.857175,2.5993,0.461538462,-275.0022689,-273.0223556,-273.0610838,-275.8206929,-276.4953559,-283.9695398,-280.3826992,-279.9687163,-282.699765,-276.5061663,FC(F)(F)c1ccc(CC(=O)N2[C@H](CN3CCCC3)CCCC2)cc1
1,105.380547,539.880005,106.060776,1120.96033,480.306824,508.910278,-5.12532473,552.870728,71.3037872,535.844177,-0.00575,-0.32922,-8.802136252,3.5605,645.9765,11,48,26,1.4016109,18.095648,5.8342638,3,0,-5.1637802,11.067676,4,370.89172,508.66617,409.38098,1668,39,140,60.131446,32.088554,2.9008,0.5,-255.3969033,-252.7358301,-252.7879422,-256.4951747,-257.3998683,-266.1942137,-262.1636676,-261.7452185,-264.4115034,-257.1391452,Clc1c(Cl)ccc(CC(=O)N2[C@H](CN3CCCC3)c3sccc3CC2)c1
1,53.0212288,270.92099,59.9145966,593.134949,234.640671,245.839066,-1.47719646,315.639343,35.1878433,268.569458,-0.0128,-0.32937,-8.614376212,3.5673,375.59903,5,24,14,2.247865,10.455666,1.1483842,6,0,-0.68832999,4.8692617,2,214.70346,241.15387,194.194,258,25,76,26.75193,20.10807,1.3632,0.333333333,-124.862663,-122.6379043,-122.68152,-125.7780784,-126.5301263,-130.6094782,-129.240556,-129.0414677,-129.3952612,-128.5379616,O=C1N(C)C(=O)c2n(C)cnc2N1C
xx1,102.985405,506.856659,111.005371,1053.30273,446.880127,470.870178,0.281156868,585.592102,70.107s4219,503.061096,-0.01334,-0.35289,-9.23969878,4.0234,567.83466,6,44,26,1.6719244,19.223249,3.9309123,8,3,-3.3500099,9.4027786,3,350.65683,448.13138,378.405,1651,43,142,51.834274,28.429726,2.5924,0.5,-228.9509508,-224.4274701,-224.5162561,-230.8101463,-232.3373021,-234.4236639,-230.3422856,-229.9771287,-237.1784165,-240.5904063,O=C(O)[C@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccccc1
1,45.7395744,237.433838,50.6165924,517.135986,205.75882,216.002121,-1.75147045,277.194946,29.8531322,236.373901,0.00461,-0.3089,-8.531108716,6.1758,333.40823,0,22,11,2.5532496,8.4307213,1.5686026,3,1,-0.82121003,4.2222066,1,177.61758,211.23395,153.181,146,16,52,24.118723,14.963277,1.2154,0.5,-121.6129647,-119.427397,-119.4685823,-122.5685595,-123.3818966,-124.690831,-122.7069496,-122.5151321,-125.2380735,-124.7804729,O=C1C(O)=C(C)N(CC)C=C1
1,50.346817,255.125488,55.659317,559.020264,221.077423,230.663895,-1.15290844,303.45874,34.0824203,253.83432,-0.02897,-0.31914,-7.895989972,3.9268,368.4938,6,21,11,2.3716021,8.2675848,2.0885568,2,2,-1.94741,4.9146881,1,181.36774,222.30675,166.248,156,13,50,25.84793,12.73207,1.3183,0.5,-115.2861019,-112.3671766,-112.4218533,-116.5739989,-117.6759203,-119.2600748,-115.4243114,-115.2308386,-118.5978124,-116.8741677,S=C(N)c1cc(CC)ncc1
1,38.5738335,197.100586,41.1580467,433.716278,170.530823,178.442215,-1.32133889,230.816315,26.885664,197.510147,0.01945,-0.34478,-9.911281068,0.2423,306.13657,6,18,8,2.1889248,5.8199911,1.1415485,0,0,-2.3740201,3.6552184,1,133.58591,177.7283,106.168,64,7,34,20.74793,10.93207,0.9982,0.4,-100.7980085,-100.4137694,-100.4213922,-100.9533114,-101.0796316,-105.4062722,-104.5554618,-104.3731512,-103.1935058,-98.71902745,C(C)c1ccccc1
1,80.0642624,406.036591,85.2288208,865.165649,356.083038,374.540833,-2.34398031,452.54361,54.3381882,403.957581,-0.04086,-0.3559,-8.572742464,2.657,514.88263,11,36,22,1.8203644,15.853006,2.567347,6,0,-3.17927,7.8398967,3,294.06192,376.45767,303.293,956,41,118,41.998102,25.619898,2.0885,0.454545455,-185.7303628,-182.8590088,-182.9147015,-186.9316614,-187.9282245,-192.1311264,-189.3699311,-189.0539245,-191.0986307,-190.0249845,Fc1cc2C(=O)N(C)Cc3c(C(=O)OCC)ncn3-c2cc1
1,81.5015488,410.048767,87.5871124,866.44873,360.249512,378.662811,-1.51884091,466.416534,55.0304871,405.191467,-0.05321,-0.36096,-8.3743699,2.9468,506.74243,12,35,23,1.8428975,16.560114,2.5997033,6,0,-4.8826098,8.1583509,3,289.0033,383.24237,313.28799,1063,43,122,42.424516,19.835484,2.1434,0.444444444,-177.0814777,-174.0433377,-174.1024923,-178.3454818,-179.3909356,-182.5376944,-179.6858077,-179.3717043,-180.7523276,-180.6023821,Fc1c(C2=NCC(=O)N(C)c3c2cc([N+](=O)[O-])cc3)cccc1
1,30.5721073,148.224136,39.9907684,344.868958,124.110298,126.208717,1.45280635,230.190857,13.6601706,143.905212,-0.01545,-0.43832,-11.50696929,2.8802,245.05054,0,10,7,3.6027832,6.0773501,2.3760631,5,3,1.02718,2.0933831,0,117.79164,101.06747,126.004,42,6,30,11.400379,12.675621,0.7046,0.333333333,-47.73698102,-43.7958264,-43.87453027,-49.31489042,-50.59196383,-46.21186298,-41.72826802,-41.61160133,-55.890717,-62.06811727,P(=O)(O)(O)C(=O)O
1,108.415359,547.399658,110.528778,1135.89685,485.411407,513.684998,-3.3425591,586.678345,75.2027054,545.179688,-0.01602,-0.33317,-8.63015894,2.5742,644.62933,6,51,26,1.5872936,18.681435,6.1874285,5,0,-3.6281199,10.502587,3,393.99573,506.63528,398.33398,1728,38,134,59.373825,36.026175,2.9065,0.5,-279.4952065,-276.1124668,-276.178048,-280.9117721,-282.0876955,-289.0219703,-284.5583362,-284.139132,-289.4830537,-286.0688115,Clc1c(Cl)ccc(CC(=O)N2[C@@H](CN3CCCC3)CN(C(=O)C)CC2)c1
1,44.8482056,223.937759,46.2865868,488.670227,194.107437,203.911591,-0.607586145,275.007904,33.5611954,224.642838,0.13519,-0.40699,-14.75358529,0.0067,337.89078,0,23,7,2.4474728,5.5355339,6,0,0,-3.4479599,3.4520738,0,149.24809,184.90033,100.20499,56,4,22,22.988688,17.491312,1.0949,0.5,-137.1595278,-137.1085375,-137.1095675,-137.1796101,-137.1957273,-141.3889544,-140.7820346,-140.5562878,-139.6495063,-133.9015498,C(CCC)CCC
///0,152.953583,760.893616,150.660065,1521.28235,678.507996,723.765503,-2.48101997,804.025208,109.072876,761.888123,0.04401,-0.35095,-10.74749354,4.3807,781.65674,0,82,38,1.8149109,28.145535,11.691351,16,16,1.20717,13.0155,3,524.89679,685.72906,552.62598,4560,67,194,82.678892,54.083108,4.0254,0.466666667,-470.4427279,-464.4929468,-464.610784,-472.8566364,-474.8258059,-476.731295,-466.872098,-466.3141164,-485.9322514,-493.939373,O=C(N[C@@H]1[C@H](O[C@H]2[C@@H](O)[C@H](N)[C@@H](O)[C@H](CO)O2)[C@@H](O)[C@@H](O[C@@H]2[C@@H](N)CC[C@H](CN)O2)[C@H](N)C1)[C@H](O)CCN
///0,277.900299,1340.68188,271.104401,2536.04443,1213.19263,1294.27087,2.91323853,1419.75146,197.112823,1330.69653,-0.03936,-0.31409,-7.475842868,3.1764,1121.6682,0,138,65,1.7102783,48.431782,21.715734,18,13,-4.2048202,23.743616,3,940.73035,1232.4862,924.091,22046,103,318,146.129889,88.724111,7.1158,0.28,-773.3369301,-766.203536,-766.3435247,-776.2731793,-778.6892047,-787.8974868,-778.8274865,-777.8786833,-796.8136392,-798.2290892,O=C(O)[C@H]1[C@@H](O)C[C@@]2(O)O[C@H]1C[C@H](O[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@H](C)O1)/C=C\C=C\C=C\C=C\C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H](C)[C@@H](C)OC(=O)C[C@@H](O)C[C@H](O)C[C@H](O)CC[C@H](O)[C@@H](O)C2